# v_p0  v_p1  v_p2
4487571 182235 13407
2946134 130918 101925
3646698 16635 -10206
4331819 -578740 6413
3687975 252456 -173163
3153577 519335 10132
3403120 519338 -64150
2778122 600464 67464
3900417 701916 -70808
2985727 189723 227464
2599379 421265 211780
2025986 117257 242680
2271523 468675 212408
3160391 438562 34757
3090213 285469 13016
2730811 79330 -12799
2937575 -293253 11539
1946163 216420 -2944
2320352 73184 -52382
2517536 -67270 -23554
2734943 -71895 -94200
3098714 268244 -129
1554256 154867 98703
1104264 -16249 201357
2624449 -32897 -16213
1835026 -80439 66379
3470262 78627 -162838
3916548 185608 -163042
1981644 263606 52163
1738738 132664 51141
1755816 216894 93885
1886191 -78655 84178
3065527 -253436 -123465
3609922 -379496 -241457
2520570 -457639 84904
3304930 -337926 -125928
1979989 -153724 -5321
2244023 -54671 -26146
2843065 -65739 -52984
3084937 331056 -17939
2694574 -329230 -38813
3583968 -278261 -79818
2799934 -451052 7354
2810020 -138444 14676
1781962 162660 147426
2355731 87644 -15165
2589343 199424 -2357
2647371 -226764 27340
2048124 -274252 79297
1678531 -138222 127805
2894181 22596 54025
2494623 -232755 159391
4569000 -293368 -63902
3164274 -222701 -33386
2749431 20361 97685
2032213 -383444 220764
2275788 17757 141380
2557245 -356499 46058
3139112 74061 -97055
2917801 -883508 41558
3040119 -368665 44076
3456963 -152031 21271
2027531 -168270 87606
2312429 -228795 80005
1993532 3779 117937
2290948 -283543 69088
2508080 -59245 -31229
1993483 -246696 104158
1779650 -78889 110633
2160708 -226945 113582
1539779 54375 185500
1903606 50760 58546
3328589 354251 25935
2133484 -31642 63814
4627213 -55681 -117703
2042500 109113 103770
3625629 -635419 -24702
3207693 138446 38438
4136784 502335 -77284
3212726 371142 83968
4971171 61006 -136715
3544537 151601 -87354
3694242 -26086 -31795
3595391 -427362 103884
3807746 -136246 -198543
4125602 319483 -219844
4178359 222684 -232099
3876937 503601 -159811
5127065 208921 -391364
3785669 502045 38625
3530688 735621 64282
2419390 634595 234668
3325189 726036 22098
3829292 418107 -65809
3423475 304187 -3422
2794832 39179 -14912
2618976 -225953 36316
2289332 126566 -74345
2302246 -21864 -34388
2468119 -132377 -44390
2457597 -221049 -39894
3579299 140437 -114953
1928078 307410 39159
1282520 422774 211589
2545447 -44008 999
1840200 41427 56388
3270317 -198328 -104651
3894897 -148008 -146173
2420126 308051 -11497
2027168 182017 -3176
2189511 351644 31443
1830103 147444 121317
2290856 -309631 81048
2531013 -644428 -5682
2093952 -252081 115147
2550669 -432948 27757
1761855 -128032 26931
2138840 -101954 -15040
2641793 -127606 -9587
